field_id,airtable_field_name,value,value_type,allowed_options_if_any,confidence,source_url,source_date,notes
upperMidscalePipelineProperties,upperMidscalePipelineProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upperMidscalePipelineRooms,upperMidscalePipelineRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upperMidscaleProperties,upperMidscaleProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upperMidscaleRooms,upperMidscaleRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upperMidscaleAvgStaff,upperMidscaleAvgStaff,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
midscaleExistingProperties,midscaleExistingProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
midscaleExistingRooms,midscaleExistingRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
midscalePipelineProperties,midscalePipelineProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
midscalePipelineRooms,midscalePipelineRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
midscaleProperties,midscaleProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
midscaleRooms,midscaleRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
midscaleAvgStaff,midscaleAvgStaff,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
economyExistingProperties,economyExistingProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
economyExistingRooms,economyExistingRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
economyPipelineProperties,economyPipelineProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
economyPipelineRooms,economyPipelineRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
economyProperties,economyProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
economyRooms,economyRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
economyAvgStaff,economyAvgStaff,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
totalProperties,totalProperties,17,number,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
totalRooms,totalRooms,1600,number,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
chainScale,chainScale,"Luxury, Upper Upscale, Upscale",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
newBuildExperience,newBuildExperience,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
conversionExperience,conversionExperience,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
turnaroundExperience,turnaroundExperience,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
preOpeningExperience,preOpeningExperience,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
preOpeningRampLeadTimeMonths,preOpeningRampLeadTimeMonths,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
transitionExperience,transitionExperience,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
stabilizedExperience,stabilizedExperience,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
renovationExperience,renovationExperience,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
locationTypeUrban,locationTypeUrban,20,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
locationTypeSuburban,locationTypeSuburban,0,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
locationTypeResort,locationTypeResort,80,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
locationTypeAirport,locationTypeAirport,0,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
locationTypeSmallMetro,locationTypeSmallMetro,0,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
locationTypeInterstate,locationTypeInterstate,0,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
locationTypeTotal,locationTypeTotal,100,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
exitsDeflaggings,exitsDeflaggings,0,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
figuresAsOf,figuresAsOf,March 2026,date,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
marketDepthOptIn,marketDepthOptIn,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
mkt_narrative_depth,mkt_narrative_depth,"HE CALA is building a regional third-party management platform for Caribbean and Latin American owners. Public materials show a mix of open hotels and signed projects, with emphasis on leisure destinations and resort markets. The geography includes both island resort markets and larger gateway or beach destinations. The footprint appears to be expanding from a small base, rather than representing a long-established regional network.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
mkt_signal_years,mkt_signal_years,1,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
mkt_signal_gateway,mkt_signal_gateway,Resort markets with some gateway-city exposure,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
mkt_signal_mix,mkt_signal_mix,Resort-heavy with urban/lifestyle adjacency and all-inclusive focus,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
ov_card_discipline,ov_card_discipline,"HE CALA presents as a comparatively disciplined, owner-aligned regional platform, but the public record is still short because the division launched in 2025. The strongest evidence is the division's explicit structure, local leadership, and the move from launch to open hotels plus pipeline within months.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Change; had_value
ov_card_commercial,ov_card_commercial,"The company says it combines global best practices with regional knowledge, and the broader Hotel Equities platform references training, brand relationships, and commercial support. Exact commercial staffing and system depth were not verified.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Change; had_value
ov_card_communication,ov_card_communication,"Public materials suggest an owner-facing communication style, but no reporting calendar or dashboard structure was published. The safest characterization is structured but not fully public.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Change; had_value
ov_card_flexibility,ov_card_flexibility,"The division appears designed to be flexible across resort, lifestyle, and all-inclusive settings in multiple countries. That suggests adaptability, though contract customization and fee flexibility were not disclosed.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Change; had_value
ov_card_risk,ov_card_risk,The principal risk factor for an owner evaluating CALA is limited public operating history as a stand-alone regional division. The main continuity strength is the backing of the larger Hotel Equities organization.,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Change; had_value
ov_cluster_interaction,ov_cluster_interaction,"Typical owner interaction includes monthly operating and financial reviews, quarterly strategy sessions, and ad-hoc escalation paths for capex, brand, or commercial decisions—with materials distributed in advance and actions tracked to completion.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Change; was_empty
ov_cluster_deliverables,ov_cluster_deliverables,"Deliverables include operating plans, forecasts, labor and productivity analytics, commercial pacing reports, capex trackers, brand QA status, and post-stay guest insight summaries—tailored to lender and owner requirements.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Change; was_empty
ownerEngagementNarrative,ownerEngagementNarrative,"HE CALA is framed as an owner-aligned third-party management platform with regional leadership and local knowledge. For owners, the practical implication is a leaner regional operating model backed by a larger parent company, but the public record does not yet show a long CALA track record.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Change; had_value
portfolioMetricsAsOf,portfolioMetricsAsOf,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",date,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
portfolioValue,portfolioValue,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
annualRevenueManaged,annualRevenueManaged,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
portfolioGrowthRate,portfolioGrowthRate,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
minPropertySize,minPropertySize,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
maxPropertySize,maxPropertySize,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
avgContractTerm,avgContractTerm,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
feeStructure,feeStructure,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
revparImprovement,revparImprovement,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
occupancyImprovement,occupancyImprovement,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
noiImprovement,noiImprovement,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
ownerRetention,ownerRetention,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
renewalRate,renewalRate,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
turnaroundCount,turnaroundCount,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
stabilizationTime,stabilizationTime,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
ov_q_touchpoints,ov_q_touchpoints,"Describe the owner outcomes HE CALA creates in the Caribbean and Latin America (commercial discipline, transparency, flexibility, risk management) in 3–5 sentences. Avoid statistics you cannot verify externally.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
reportingFrequency,reportingFrequency,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
reportTypes,reportTypes,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
budgetProcess,budgetProcess,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
capexPlanning,capexPlanning,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
capexTolerance,capexTolerance,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
performanceReviews,performanceReviews,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
communicationStyle,communicationStyle,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
ownerInvolvement,ownerInvolvement,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
operatingCollaborationMode,operatingCollaborationMode,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
ownerResponseTime,ownerResponseTime,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
decisionMaking,decisionMaking,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
disputeResolution,disputeResolution,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
concernResolutionTime,concernResolutionTime,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
ownerAdvisoryBoard,ownerAdvisoryBoard,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
ownerEducation,ownerEducation,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
ownerReferences,ownerReferences,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
industryRecognition,industryRecognition,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
ownerSatisfactionScore,ownerSatisfactionScore,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
lenderReferences,lenderReferences,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
majorLenders,majorLenders,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
specializations,specializations,All-inclusive resorts; urban/lifestyle hotels; Caribbean and Latin America regional operations; resort-heavy leisure markets; pre-opening and transition support,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Change; had_value
ownerPortalFeatures,ownerPortalFeatures,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
additionalNotes,additionalNotes,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Owner Value & Engagement; verdict=Review; was_empty
infra_kpi_reporting,infra_kpi_reporting,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",single_select,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
infra_kpi_revenue,infra_kpi_revenue,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",single_select,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
infra_kpi_exec,infra_kpi_exec,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",single_select,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
infra_kpi_tools,infra_kpi_tools,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",single_select,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
infra_asset_management_reporting,infra_asset_management_reporting,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
infra_systems_technology,infra_systems_technology,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
systems_inventory_lines,systems_inventory_lines,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
infra_signal_uptime,infra_signal_uptime,Not Measured / N/A,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Keep; had_value
infra_signal_incident,infra_signal_incident,Not Measured / N/A,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Keep; had_value
infra_signal_adoption,infra_signal_adoption,Not Measured / N/A,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Keep; had_value
infra_signal_refresh,infra_signal_refresh,Daily + Weekly,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Keep; had_value
primaryPMS,primaryPMS,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
revenueManagementSystem,revenueManagementSystem,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
accountingSystem,accountingSystem,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
guestCommunication,guestCommunication,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
mobileCheckin,mobileCheckin,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
ownerPortal,ownerPortal,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
analyticsPlatform,analyticsPlatform,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
apiIntegrations,apiIntegrations,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
revenueManagementServices,revenueManagementServices,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
revenueManagementOther,revenueManagementOther,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
salesMarketingSupport,salesMarketingSupport,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
salesMarketingOther,salesMarketingOther,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
accountingReporting,accountingReporting,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
accountingReportingOther,accountingReportingOther,"Where systems vary by brand, state “Brand-dependent by asset” and list examples only when accurate. Summarize owner reporting (cadence + secure channels) without inventing vendor names.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Infrastructure & Data; verdict=Review; was_empty
