operator_master_record_id,operator_name,my_operator_tab,form_field_key,airtable_table,airtable_field_name,value_type,allowed_options,displayed_in_operator_explorer,operator_explorer_section,field_purpose,example_value_for_template,current_value_in_system,suggested_value_verdict,where_to_enter,canonical_writer_mapped,coverage_status,notes
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,numberOfMarkets,Operator Setup - Platform & Markets,numberOfMarkets,number,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,8,11,Change,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,specificMarkets,Operator Setup - Platform & Markets,specificMarkets,text,,,,My Operator intake (Markets & Footprint); save via canonical new-base writer when mapped.,"HE CALA has open and pipeline hotels in the Dominican Republic, Turks & Caicos, Curaçao, Mexico, Trinidad & Tobago, Dominica, and Costa Rica, with additional references to Riviera Maya and Mexico City.","Costa Rica, Dominican Republic, Jamaica, US Virgin Islands, Riviera Maya (Mexico), Dominica, Curacao, Trinidad & Tobago, Grenada, Mexico City, Turks & Caicos",Change,Markets & Footprint,yes,,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,luxuryExistingProperties,Operator Setup - Platform & Markets,luxuryExistingProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,1,1,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,luxuryExistingRooms,Operator Setup - Platform & Markets,luxuryExistingRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,100,100,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,luxuryPipelineProperties,Operator Setup - Platform & Markets,luxuryPipelineProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,1,1,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,luxuryPipelineRooms,Operator Setup - Platform & Markets,luxuryPipelineRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,100,100,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,luxuryProperties,Operator Setup - Platform & Markets,luxuryProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,2,2,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,luxuryRooms,Operator Setup - Platform & Markets,luxuryRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,200,200,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,luxuryAvgStaff,Operator Setup - Platform & Markets,luxuryAvgStaff,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperUpscaleExistingProperties,Operator Setup - Platform & Markets,upperUpscaleExistingProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,9,9,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperUpscaleExistingRooms,Operator Setup - Platform & Markets,upperUpscaleExistingRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,900,900,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperUpscalePipelineProperties,Operator Setup - Platform & Markets,upperUpscalePipelineProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,1,1,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperUpscalePipelineRooms,Operator Setup - Platform & Markets,upperUpscalePipelineRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,100,100,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperUpscaleProperties,Operator Setup - Platform & Markets,upperUpscaleProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,10,10,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperUpscaleRooms,Operator Setup - Platform & Markets,upperUpscaleRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"1,000","1,000",Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperUpscaleAvgStaff,Operator Setup - Platform & Markets,upperUpscaleAvgStaff,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upscaleExistingProperties,Operator Setup - Platform & Markets,upscaleExistingProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,4,4,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upscaleExistingRooms,Operator Setup - Platform & Markets,upscaleExistingRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,400,400,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upscalePipelineProperties,Operator Setup - Platform & Markets,upscalePipelineProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upscalePipelineRooms,Operator Setup - Platform & Markets,upscalePipelineRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upscaleProperties,Operator Setup - Platform & Markets,upscaleProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,4,4,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upscaleRooms,Operator Setup - Platform & Markets,upscaleRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,400,400,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upscaleAvgStaff,Operator Setup - Platform & Markets,upscaleAvgStaff,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperMidscaleExistingProperties,Operator Setup - Platform & Markets,upperMidscaleExistingProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperMidscaleExistingRooms,Operator Setup - Platform & Markets,upperMidscaleExistingRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperMidscalePipelineProperties,Operator Setup - Platform & Markets,upperMidscalePipelineProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperMidscalePipelineRooms,Operator Setup - Platform & Markets,upperMidscalePipelineRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperMidscaleProperties,Operator Setup - Platform & Markets,upperMidscaleProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperMidscaleRooms,Operator Setup - Platform & Markets,upperMidscaleRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,upperMidscaleAvgStaff,Operator Setup - Platform & Markets,upperMidscaleAvgStaff,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,midscaleExistingProperties,Operator Setup - Platform & Markets,midscaleExistingProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,midscaleExistingRooms,Operator Setup - Platform & Markets,midscaleExistingRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,midscalePipelineProperties,Operator Setup - Platform & Markets,midscalePipelineProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,midscalePipelineRooms,Operator Setup - Platform & Markets,midscalePipelineRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,midscaleProperties,Operator Setup - Platform & Markets,midscaleProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,midscaleRooms,Operator Setup - Platform & Markets,midscaleRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,midscaleAvgStaff,Operator Setup - Platform & Markets,midscaleAvgStaff,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,economyExistingProperties,Operator Setup - Platform & Markets,economyExistingProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,economyExistingRooms,Operator Setup - Platform & Markets,economyExistingRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,economyPipelineProperties,Operator Setup - Platform & Markets,economyPipelineProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,economyPipelineRooms,Operator Setup - Platform & Markets,economyPipelineRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,economyProperties,Operator Setup - Platform & Markets,economyProperties,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,economyRooms,Operator Setup - Platform & Markets,economyRooms,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,economyAvgStaff,Operator Setup - Platform & Markets,economyAvgStaff,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,totalProperties,Operator Setup - Platform & Markets,totalProperties,number,,No,—,My Operator intake (Markets & Footprint); UI + new-base writer (+ Explorer when consumer).,17,16,Change,Markets & Footprint,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,totalRooms,Operator Setup - Platform & Markets,totalRooms,number,,No,—,My Operator intake (Markets & Footprint); UI + new-base writer (+ Explorer when consumer).,1600,1600,Keep,Markets & Footprint,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,chainScale,Operator Setup - Platform & Markets,chainScale,text,,Yes,H. Alignment Context (dealId),Populates Operator Explorer: H. Alignment Context (dealId).,"Luxury, Upper Upscale, Upscale","Luxury, Upper Upscale, Upscale",Keep,Markets & Footprint,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,newBuildExperience,Operator Setup - Platform & Markets,newBuildExperience,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,conversionExperience,Operator Setup - Platform & Markets,conversionExperience,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,turnaroundExperience,Operator Setup - Platform & Markets,turnaroundExperience,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,preOpeningExperience,Operator Setup - Platform & Markets,preOpeningExperience,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,preOpeningRampLeadTimeMonths,Operator Setup - Platform & Markets,preOpeningRampLeadTimeMonths,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,transitionExperience,Operator Setup - Platform & Markets,transitionExperience,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,stabilizedExperience,Operator Setup - Platform & Markets,stabilizedExperience,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,renovationExperience,Operator Setup - Platform & Markets,renovationExperience,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,locationTypeUrban,Operator Setup - Platform & Markets,locationTypeUrban,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,20,20,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,locationTypeSuburban,Operator Setup - Platform & Markets,locationTypeSuburban,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,0,0,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,locationTypeResort,Operator Setup - Profile & Positioning,locationTypeResort,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,80,80,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,locationTypeAirport,Operator Setup - Profile & Positioning,locationTypeAirport,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,0,0,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,locationTypeSmallMetro,Operator Setup - Platform & Markets,locationTypeSmallMetro,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,0,0,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,locationTypeInterstate,Operator Setup - Platform & Markets,locationTypeInterstate,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,0,0,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,locationTypeTotal,Operator Setup - Platform & Markets,locationTypeTotal,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,100,100,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,exitsDeflaggings,Operator Setup - Platform & Markets,exitsDeflaggings,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,0,0,Keep,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,figuresAsOf,Operator Setup - Profile & Positioning,figuresAsOf,text,,No,—,My Operator intake (Markets & Footprint); Phase Setup UI + B2 writer mapping.,March 2026,2026-04-08,Change,Markets & Footprint,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,marketDepthOptIn,Operator Setup - Platform & Markets,marketDepthOptIn,checkbox,,No,—,My Operator intake (Markets & Footprint); UI + new-base writer (+ Explorer when consumer).,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",,Review,Markets & Footprint,yes,Fully Covered,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,mkt_narrative_depth,Operator Setup - Platform & Markets,mkt_narrative_depth,text,,Partial,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,Markets & footprint metrics or narrative on Explorer Markets section.,"HE CALA is building a regional third-party management platform for Caribbean and Latin American owners. Public materials show a mix of open hotels and signed projects, with emphasis on leisure destinations and resort markets. The geography includes both island resort markets and larger gateway or beach destinations. The footprint appears to be expanding from a small base, rather than representing a long-established regional network.",,Change,Markets & Footprint,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,mkt_signal_years,Operator Setup - Platform & Markets,mkt_signal_years,single_select,,Partial,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,Markets & footprint metrics or narrative on Explorer Markets section.,1,,Change,Markets & Footprint,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,mkt_signal_gateway,Operator Setup - Platform & Markets,mkt_signal_gateway,single_select,,Partial,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,Markets & footprint metrics or narrative on Explorer Markets section.,Resort markets with some gateway-city exposure,,Change,Markets & Footprint,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Markets & Footprint,mkt_signal_mix,Operator Setup - Platform & Markets,mkt_signal_mix,single_select,,Partial,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,Markets & footprint metrics or narrative on Explorer Markets section.,Resort-heavy with urban/lifestyle adjacency and all-inclusive focus,,Change,Markets & Footprint,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Owner Value & Engagement,ov_card_discipline,Operator Setup - Commercial Fit & Terms,ov_card_discipline,text,,Partial,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial Explorer visibility (Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting).,"HE CALA presents as a comparatively disciplined, owner-aligned regional platform, but the public record is still short because the division launched in 2025. The strongest evidence is the division's explicit structure, local leadership, and the move from launch to open hotels plus pipeline within months.",,Change,Owner Value & Engagement,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Owner Value & Engagement,ov_card_commercial,Operator Setup - Commercial Fit & Terms,ov_card_commercial,text,,Partial,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial Explorer visibility (Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting).,"The company says it combines global best practices with regional knowledge, and the broader Hotel Equities platform references training, brand relationships, and commercial support. Exact commercial staffing and system depth were not verified.",,Change,Owner Value & Engagement,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Owner Value & Engagement,ov_card_communication,Operator Setup - Commercial Fit & Terms,ov_card_communication,text,,Partial,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial Explorer visibility (Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting).,"Public materials suggest an owner-facing communication style, but no reporting calendar or dashboard structure was published. The safest characterization is structured but not fully public.",,Change,Owner Value & Engagement,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Owner Value & Engagement,ov_card_flexibility,Operator Setup - Commercial Fit & Terms,ov_card_flexibility,text,,Partial,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial Explorer visibility (Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting).,"The division appears designed to be flexible across resort, lifestyle, and all-inclusive settings in multiple countries. That suggests adaptability, though contract customization and fee flexibility were not disclosed.",,Change,Owner Value & Engagement,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Owner Value & Engagement,ov_card_risk,Operator Setup - Commercial Fit & Terms,ov_card_risk,text,,Partial,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial Explorer visibility (Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting).,The principal risk factor for an owner evaluating CALA is limited public operating history as a stand-alone regional division. The main continuity strength is the backing of the larger Hotel Equities organization.,,Change,Owner Value & Engagement,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Owner Value & Engagement,ov_cluster_interaction,Operator Setup - Commercial Fit & Terms,ov_cluster_interaction,text,,Partial,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial Explorer visibility (Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting).,"Typical owner interaction includes monthly operating and financial reviews, quarterly strategy sessions, and ad-hoc escalation paths for capex, brand, or commercial decisions—with materials distributed in advance and actions tracked to completion.",,Change,Owner Value & Engagement,yes,Fully Covered,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Owner Value & Engagement,ov_cluster_deliverables,Operator Setup - Commercial Fit & Terms,ov_cluster_deliverables,text,,Partial,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial Explorer visibility (Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting).,"Deliverables include operating plans, forecasts, labor and productivity analytics, commercial pacing reports, capex trackers, brand QA status, and post-stay guest insight summaries—tailored to lender and owner requirements.",,Change,Owner Value & Engagement,yes,Fully Covered,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Owner Value & Engagement,ownerEngagementNarrative,Operator Setup - Commercial Fit & Terms,ownerEngagementNarrative,text,,No,—,My Operator intake (Owner Value & Engagement); UI + new-base writer (+ Explorer when consumer).,"HE CALA is framed as an owner-aligned third-party management platform with regional leadership and local knowledge. For owners, the practical implication is a leaner regional operating model backed by a larger parent company, but the public record does not yet show a long CALA track record.",,Change,Owner Value & Engagement,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Owner Value & Engagement,portfolioMetricsAsOf,Operator Setup - Commercial Fit & Terms,portfolioMetricsAsOf,text,,No,—,My Operator intake (Owner Value & Engagement); Phase B2 — extend new-base writer.,"Enter only Finance-approved metrics, or leave blank until disclosure is approved. For narrative fields, describe owner outcomes in plain language.",,Review,Owner Value & Engagement,no,Legacy Only,currently empty in form inventory
