airtable_table,field_name,field_type,possible_duplicate_field,read_anywhere_current,write_anywhere_current,appears_in_api_payloads,appears_in_snapshots_or_docs,appears_in_scoring_logic,contains_data_check,removal_risk,recommendation,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Operator Setup - Profile & Positioning,brand_execution_capabilities_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_governance_compliance_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_soft_independent_narrative,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_conversion_project_count,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,op_commercial_engine_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,op_owner_reporting_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,op_preopening_transition_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,op_conversion_repositioning_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,op_fb_lifestyle_resort_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,mkt_regional_expertise_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,mkt_market_fit_signals_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_technology_stack_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_services_offered_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_data_domains_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_data_governance_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_analytics_support_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_technology_maturity_level,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",operator_materials_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",operator_materials_gallery_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_strategic_owner_value_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_engagement_cadence_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_controls_governance_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_reports_received_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_owner_tools_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_lifecycle_support_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_fit_criteria_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_best_fit_project_types_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_preferred_deal_profile_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_evaluation_path_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_red_flags_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Leadership Team Members,hospitality_experience_years,number,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Leadership Team Members,company_tenure_years,number,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Leadership Team Members,prior_background,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Leadership Team Members,market_experience,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Leadership Team Members,core_expertise,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Leadership Team Members,relevant_asset_types,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Explorer Materials,Slot Key,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Explorer Materials,Sort Order,number,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
