page_tab_section,ui_label,frontend_field_key_name_id,expected_airtable_table,expected_airtable_field,api_route_used_to_save,request_payload_key,response_payload_key,save_currently_implemented,persists_after_refresh,loads_existing_values,validation_present,select_option_consistency,disconnected_or_mock_risk,mismatch_issue,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Markets & Footprint / Market Fit Signals,mkt_market_fit_signals_json,mkt_market_fit_signals_json,Operator Setup - Platform & Markets,mkt_market_fit_signals_json,/api/third-party-operator-intake,mkt_market_fit_signals_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Markets & Footprint / Footprint Metrics,geo_*,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Markets & Footprint / Footprint Metrics,brandsPortfolioDetail,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Owner Engagement & Reporting / Engagement & Reporting (KPI snapshot),ownerReportingLevel,ownerReportingLevel,"Operator Setup - Governance, Delivery & Diligence",Owner Reporting Level,/api/third-party-operator-intake,ownerReportingLevel,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Owner Engagement & Reporting / Engagement & Reporting (KPI snapshot),reportingFrequency / ownerReportingCadence,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Owner Engagement & Reporting / Engagement & Reporting (KPI snapshot),ownerResponseTime,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Owner Engagement & Reporting / Engagement & Reporting (KPI snapshot),ov_q_touchpoints,ov_q_touchpoints,Operator Setup - Commercial Fit & Terms,ov_q_touchpoints,/api/third-party-operator-intake,ov_q_touchpoints,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Owner Engagement & Reporting / Engagement & Reporting (KPI snapshot),reportTypes,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Owner Engagement & Reporting / Engagement & Reporting (KPI snapshot),ownerPortalFeatures,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Owner Engagement & Reporting / Strategic Owner Value,ov_strategic_owner_value_json,ov_strategic_owner_value_json,Operator Setup - Commercial Fit & Terms,ov_strategic_owner_value_json,/api/third-party-operator-intake,ov_strategic_owner_value_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Owner Engagement & Reporting / Owner Engagement Cadence,ov_engagement_cadence_json,ov_engagement_cadence_json,Operator Setup - Commercial Fit & Terms,ov_engagement_cadence_json,/api/third-party-operator-intake,ov_engagement_cadence_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Owner Engagement & Reporting / Controls & Governance,ov_controls_governance_json,ov_controls_governance_json,Operator Setup - Commercial Fit & Terms,ov_controls_governance_json,/api/third-party-operator-intake,ov_controls_governance_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Owner Engagement & Reporting / Reports Owners Receive,ov_reports_received_json,ov_reports_received_json,Operator Setup - Commercial Fit & Terms,ov_reports_received_json,/api/third-party-operator-intake,ov_reports_received_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Owner Engagement & Reporting / Owner Tools & Support Channels,ov_owner_tools_json,ov_owner_tools_json,Operator Setup - Commercial Fit & Terms,ov_owner_tools_json,/api/third-party-operator-intake,ov_owner_tools_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Owner Engagement & Reporting / Owner Support Across the Asset Lifecycle,ov_lifecycle_support_json,ov_lifecycle_support_json,Operator Setup - Commercial Fit & Terms,ov_lifecycle_support_json,/api/third-party-operator-intake,ov_lifecycle_support_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Infrastructure & Data (KPI snapshot),infra_signal_uptime,infra_signal_uptime,"Operator Setup - Governance, Delivery & Diligence",infra_signal_uptime,/api/third-party-operator-intake,infra_signal_uptime,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Infrastructure & Data (KPI snapshot),infra_signal_incident,infra_signal_incident,"Operator Setup - Governance, Delivery & Diligence",infra_signal_incident,/api/third-party-operator-intake,infra_signal_incident,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Infrastructure & Data (KPI snapshot),infra_signal_adoption,infra_signal_adoption,"Operator Setup - Governance, Delivery & Diligence",infra_signal_adoption,/api/third-party-operator-intake,infra_signal_adoption,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Infrastructure & Data (KPI snapshot),infra_signal_refresh,infra_signal_refresh,"Operator Setup - Governance, Delivery & Diligence",infra_signal_refresh,/api/third-party-operator-intake,infra_signal_refresh,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Infrastructure & Data (KPI snapshot),risk_signal_audit,risk_signal_audit,"Operator Setup - Governance, Delivery & Diligence",risk_signal_audit,/api/third-party-operator-intake,risk_signal_audit,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Infrastructure & Data (KPI snapshot),risk_signal_bcp,risk_signal_bcp,"Operator Setup - Governance, Delivery & Diligence",risk_signal_bcp,/api/third-party-operator-intake,risk_signal_bcp,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Infrastructure & Data (KPI snapshot),risk_signal_control,risk_signal_control,"Operator Setup - Governance, Delivery & Diligence",risk_signal_control,/api/third-party-operator-intake,risk_signal_control,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Infrastructure & Data (KPI snapshot),risk_signal_insurance,risk_signal_insurance,"Operator Setup - Governance, Delivery & Diligence",risk_signal_insurance,/api/third-party-operator-intake,risk_signal_insurance,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Technology Platform Stack,infra_technology_stack_json,infra_technology_stack_json,"Operator Setup - Governance, Delivery & Diligence",infra_technology_stack_json,/api/third-party-operator-intake,infra_technology_stack_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Infrastructure Services Offered,infra_services_offered_json,infra_services_offered_json,"Operator Setup - Governance, Delivery & Diligence",infra_services_offered_json,/api/third-party-operator-intake,infra_services_offered_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Data Domains Captured,infra_data_domains_json,infra_data_domains_json,"Operator Setup - Governance, Delivery & Diligence",infra_data_domains_json,/api/third-party-operator-intake,infra_data_domains_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
"Infrastructure & Data / Data Governance, Security & Controls",infra_data_governance_json,infra_data_governance_json,"Operator Setup - Governance, Delivery & Diligence",infra_data_governance_json,/api/third-party-operator-intake,infra_data_governance_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Analytics & Decision Support,infra_analytics_support_json,infra_analytics_support_json,"Operator Setup - Governance, Delivery & Diligence",infra_analytics_support_json,/api/third-party-operator-intake,infra_analytics_support_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Technology Maturity View,infra_technology_maturity_level,infra_technology_maturity_level,"Operator Setup - Governance, Delivery & Diligence",infra_technology_maturity_level,/api/third-party-operator-intake,infra_technology_maturity_level,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Infrastructure & Data / Technology Maturity View,infra_technology_maturity_json,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Leadership / Leadership Snapshot (KPIs),lead_avg_hospitality_experience,lead_avg_hospitality_experience,"Operator Setup - Governance, Delivery & Diligence",Leadership Avg Hospitality Experience,/api/third-party-operator-intake,lead_avg_hospitality_experience,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Leadership / Leadership Snapshot (KPIs),lead_signal_tenure,lead_signal_tenure,"Operator Setup - Governance, Delivery & Diligence",lead_signal_tenure,/api/third-party-operator-intake,lead_signal_tenure,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Leadership / Leadership Snapshot (KPIs),lead_signal_crossbrand,lead_signal_crossbrand,"Operator Setup - Governance, Delivery & Diligence",lead_signal_crossbrand,/api/third-party-operator-intake,lead_signal_crossbrand,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Leadership / Leadership Snapshot (KPIs),lead_language_capability_json,Leadership Languages (JSON),Needs Review,—,/api/third-party-operator-intake,Leadership Languages (JSON),"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Leadership / Leadership Profiles,leadershipTeam[],—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Leadership / Organization Structure,lead_org_structure_json,Leadership Org Structure (JSON),Needs Review,—,/api/third-party-operator-intake,Leadership Org Structure (JSON),"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Leadership / Team Depth by Function,lead_team_depth_json,Leadership Team Depth (JSON),Needs Review,—,/api/third-party-operator-intake,Leadership Team Depth (JSON),"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Leadership / Language & Regional Capability,lead_language_capability_json,Leadership Languages (JSON),Needs Review,—,/api/third-party-operator-intake,Leadership Languages (JSON),"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Leadership / Governance & Communication Cadence,lead_governance_cadence_json,Leadership Governance Cadence (JSON),Needs Review,—,/api/third-party-operator-intake,Leadership Governance Cadence (JSON),"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Leadership / Team Experience Markets,lead_team_markets_json,Leadership Team Markets (JSON),Needs Review,—,/api/third-party-operator-intake,Leadership Team Markets (JSON),"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Leadership / Owner Relationship Model,lead_owner_relationship_json,Leadership Owner Relationship (JSON),Needs Review,—,/api/third-party-operator-intake,Leadership Owner Relationship (JSON),"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Project Fit & Deal Profile / Project Fit Snapshot (KPIs),"minPropertySize, maxPropertySize",—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Project Fit & Deal Profile / Project Fit Snapshot (KPIs),bf_signal_dealsize,bf_signal_dealsize,Operator Setup - Commercial Fit & Terms,bf_signal_dealsize,/api/third-party-operator-intake,bf_signal_dealsize,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Project Fit & Deal Profile / Project Fit Snapshot (KPIs),bf_signal_transition,bf_signal_transition,Operator Setup - Commercial Fit & Terms,bf_signal_transition,/api/third-party-operator-intake,bf_signal_transition,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Project Fit & Deal Profile / Operator Fit Criteria,bf_fit_criteria_json,bf_fit_criteria_json,Operator Setup - Commercial Fit & Terms,bf_fit_criteria_json,/api/third-party-operator-intake,bf_fit_criteria_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Project Fit & Deal Profile / Best-Fit Project Types,bf_best_fit_project_types_json,bf_best_fit_project_types_json,Operator Setup - Commercial Fit & Terms,bf_best_fit_project_types_json,/api/third-party-operator-intake,bf_best_fit_project_types_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Project Fit & Deal Profile / Preferred Deal Profile,bf_preferred_deal_profile_json,bf_preferred_deal_profile_json,Operator Setup - Commercial Fit & Terms,bf_preferred_deal_profile_json,/api/third-party-operator-intake,bf_preferred_deal_profile_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Project Fit & Deal Profile / Evaluation Path,bf_evaluation_path_json,bf_evaluation_path_json,Operator Setup - Commercial Fit & Terms,bf_evaluation_path_json,/api/third-party-operator-intake,bf_evaluation_path_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Project Fit & Deal Profile / Potential Red Flags,bf_red_flags_json,bf_red_flags_json,Operator Setup - Commercial Fit & Terms,bf_red_flags_json,/api/third-party-operator-intake,bf_red_flags_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Proof & Track Record / Proof & Track Record (KPIs),totalProperties,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Proof & Track Record / Proof & Track Record (KPIs),numberOfMarkets,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Proof & Track Record / Proof & Track Record (KPIs),yearsInBusiness,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Proof & Track Record / Proof & Track Record (KPIs),ownerReferences,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Proof & Track Record / Proof & Track Record (KPIs),lenderReferences,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Proof & Track Record / Case Studies,caseStudiesDetail[],—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Proof & Track Record / Owner Diligence Highlights,ownerDiligenceQa[],—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Proof & Track Record / Decision Signals,tr_signal_revpar,tr_signal_revpar,"Operator Setup - Governance, Delivery & Diligence",tr_signal_revpar,/api/third-party-operator-intake,tr_signal_revpar,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Proof & Track Record / Decision Signals,tr_signal_occ,tr_signal_occ,"Operator Setup - Governance, Delivery & Diligence",tr_signal_occ,/api/third-party-operator-intake,tr_signal_occ,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Proof & Track Record / Decision Signals,tr_signal_adr,tr_signal_adr,"Operator Setup - Governance, Delivery & Diligence",tr_signal_adr,/api/third-party-operator-intake,tr_signal_adr,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Proof & Track Record / Decision Signals,tr_signal_repeat,tr_signal_repeat,"Operator Setup - Governance, Delivery & Diligence",tr_signal_repeat,/api/third-party-operator-intake,tr_signal_repeat,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
