airtable_table,airtable_field_name,airtable_field_type,canonical_key,compatibility_alias_keys,my_operator_section,ui_label,frontend_input_key,payload_key,writer_mapping,readback_prefill_key,displayed_in_operator_explorer,used_in_alignment_snapshot,used_in_alignment_score_breakdown,used_in_capability_snapshot,system_derived,legacy_compatibility_only,currently_missing_from_form,recommended_form_treatment,priority
Operator Setup - Commercial Fit & Terms,ov_lifecycle_support_json,multilineText,ov_lifecycle_support_json,,Owner Engagement & Reporting / Owner Support Across the Asset Lifecycle,ov_lifecycle_support_json,ov_lifecycle_support_json,ov_lifecycle_support_json,Operator Setup - Commercial Fit & Terms.ov_lifecycle_support_json <= ov_lifecycle_support_json,ov_lifecycle_support_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,ov_owner_tools_json,multilineText,ov_owner_tools_json,,Owner Engagement & Reporting / Owner Tools & Support Channels,ov_owner_tools_json,ov_owner_tools_json,ov_owner_tools_json,Operator Setup - Commercial Fit & Terms.ov_owner_tools_json <= ov_owner_tools_json,ov_owner_tools_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,ov_q_touchpoints,number,ov_q_touchpoints,,Owner Engagement & Reporting / Engagement & Reporting (KPI snapshot),ov_q_touchpoints,ov_q_touchpoints,ov_q_touchpoints,Operator Setup - Commercial Fit & Terms.ov_q_touchpoints <= ov_q_touchpoints,ov_q_touchpoints,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ov_reports_received_json,multilineText,ov_reports_received_json,,Owner Engagement & Reporting / Reports Owners Receive,ov_reports_received_json,ov_reports_received_json,ov_reports_received_json,Operator Setup - Commercial Fit & Terms.ov_reports_received_json <= ov_reports_received_json,ov_reports_received_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,ov_strategic_owner_value_json,multilineText,ov_strategic_owner_value_json,,Owner Engagement & Reporting / Strategic Owner Value,ov_strategic_owner_value_json,ov_strategic_owner_value_json,ov_strategic_owner_value_json,Operator Setup - Commercial Fit & Terms.ov_strategic_owner_value_json <= ov_strategic_owner_value_json,ov_strategic_owner_value_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,ownerAdvisoryBoard,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerEarlyTerminationNotes,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerEarlyTerminationRights,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerEducation,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerEngagementNarrative,multilineText,ownerEngagementNarrative,,,,ownerEngagementNarrative,ownerEngagementNarrative,Operator Setup - Commercial Fit & Terms.ownerEngagementNarrative <= ownerEngagementNarrative,ownerEngagementNarrative,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerFundedReserves,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerHotelExperience,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerInvolvement,singleSelect,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,ownerInvolvementLevel,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerNonNegotiableOther,singleLineText,ownerNonNegotiableOther,,,,ownerNonNegotiableOther,ownerNonNegotiableOther,Operator Setup - Commercial Fit & Terms.ownerNonNegotiableOther <= ownerNonNegotiableOther,ownerNonNegotiableOther,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerNonNegotiables,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerNonNegotiableTypes,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerPortalFeatures,multilineText,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,ownerReferences,number,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,ownerResponseTime,singleSelect,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,ownerRetention,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ownerSatisfactionScore,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,performanceMetricsOther,singleLineText,performanceMetricsOther,,,,performanceMetricsOther,performanceMetricsOther,Operator Setup - Commercial Fit & Terms.performanceMetricsOther <= performanceMetricsOther,performanceMetricsOther,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,performanceMetricsUsed,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,performanceReviews,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,performanceTerminationRights,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,performanceTestRequirement,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,pipAtRenewal,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,pipForConversions,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,pipRepositioningDetails,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,portfolioGrowthRate,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,portfolioMetricsAsOf,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,portfolioValue,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,Pre-Opening Support Capability,singleSelect,preOpeningSupportCapability,,Operating Platform / Operating Platform (KPI snapshot),preOpeningSupportCapability,preOpeningSupportCapability,preOpeningSupportCapability,Operator Setup - Commercial Fit & Terms.Pre-Opening Support Capability <= preOpeningSupportCapability,preOpeningSupportCapability,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Deferred/capture later,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,preferredOwnerType,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,preOpeningFees,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,preOpeningFeesNotes,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,priorityMarkets,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,priorityMarketsOther,singleLineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,projectStage,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,qaComplianceRequirement,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,renewalConditions,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,renewalNoticeDuration,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,renewalNoticeQty,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,renewalNoticeResponsibility,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,renewalOptionDuration,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,renewalOptionLength,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,renewalOptionQty,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,renewalRate,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,renewalStructure,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,reportingFrequency,singleSelect,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,reportTypes,multipleSelects,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,revparImprovement,number,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,Similar Project Case Studies,multilineText,similarProjectCaseStudies,,,,similarProjectCaseStudies,similarProjectCaseStudies,Operator Setup - Commercial Fit & Terms.Similar Project Case Studies <= similarProjectCaseStudies,similarProjectCaseStudies,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,specializations,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,stabilizationTime,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,terminationFeeStructure,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,terminationFeeStructureNotes,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,turnaroundCount,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Diligence QA,answer,multilineText,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Diligence QA,category,singleLineText,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Diligence QA,display_order,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Diligence QA,Operator,multipleRecordLinks,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Diligence QA,question,multilineText,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Explorer Materials,Active,checkbox,,,,,,,No/Unclear,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Explorer Materials,Body,multilineText,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Explorer Materials,Company Name,singleLineText,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Explorer Materials,Image,multipleAttachments,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Explorer Materials,Operator,multipleRecordLinks,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Explorer Materials,Slot Key,singleLineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Explorer Materials,Sort Order,number,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Explorer Materials,Title,singleLineText,,,,,,,No/Unclear,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",Accounting Reporting,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Accounting Reporting Other,multilineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",accountingSystem,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",analyticsPlatform,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",apiIntegrations,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",avgExperience,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",certifications,multilineText,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",company_name,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",contactEmail,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",contactName,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",contactPhone,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",Design Renovation Support,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Design Renovation Support Other,multilineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Development Services,multipleSelects,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",Development Services Other,multilineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",diligenceDocumentLinks,multilineText,diligenceDocumentLinks,,,,diligenceDocumentLinks,diligenceDocumentLinks,"Operator Setup - Governance, Delivery & Diligence.diligenceDocumentLinks <= diligenceDocumentLinks",diligenceDocumentLinks,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",diligenceQaOptIn,checkbox,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",F&B Capability Level,singleSelect,fbCapabilityLevel,,Operating Platform / Operating Platform (KPI snapshot),fbCapabilityLevel / fBCapabilityLevel,fbCapabilityLevel,fbCapabilityLevel,"Operator Setup - Governance, Delivery & Diligence.F&B Capability Level <= fbCapabilityLevel",fbCapabilityLevel,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Deferred/capture later,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",Governance Cadence,singleSelect,governanceCadence,,,,governanceCadence,governanceCadence,"Operator Setup - Governance, Delivery & Diligence.Governance Cadence <= governanceCadence",governanceCadence,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Deferred/capture later,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",guestCommunication,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",HR Training Services,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",HR Training Services Other,multilineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_analytics_support_json,multilineText,infra_analytics_support_json,,Infrastructure & Data / Analytics & Decision Support,infra_analytics_support_json,infra_analytics_support_json,infra_analytics_support_json,"Operator Setup - Governance, Delivery & Diligence.infra_analytics_support_json <= infra_analytics_support_json",infra_analytics_support_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,Yes,Legacy compatibility only,Do not expose
"Operator Setup - Governance, Delivery & Diligence",infra_asset_management_reporting,multilineText,infra_asset_management_reporting,,,,infra_asset_management_reporting,infra_asset_management_reporting,"Operator Setup - Governance, Delivery & Diligence.infra_asset_management_reporting <= infra_asset_management_reporting",infra_asset_management_reporting,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_data_domains_json,multilineText,infra_data_domains_json,,Infrastructure & Data / Data Domains Captured,infra_data_domains_json,infra_data_domains_json,infra_data_domains_json,"Operator Setup - Governance, Delivery & Diligence.infra_data_domains_json <= infra_data_domains_json",infra_data_domains_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,Yes,Legacy compatibility only,Do not expose
"Operator Setup - Governance, Delivery & Diligence",infra_data_governance_json,multilineText,infra_data_governance_json,,"Infrastructure & Data / Data Governance, Security & Controls",infra_data_governance_json,infra_data_governance_json,infra_data_governance_json,"Operator Setup - Governance, Delivery & Diligence.infra_data_governance_json <= infra_data_governance_json",infra_data_governance_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,Yes,Legacy compatibility only,Do not expose
"Operator Setup - Governance, Delivery & Diligence",infra_kpi_exec,singleLineText,infra_kpi_exec,,,,infra_kpi_exec,infra_kpi_exec,"Operator Setup - Governance, Delivery & Diligence.infra_kpi_exec <= infra_kpi_exec",infra_kpi_exec,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_kpi_reporting,number,infra_kpi_reporting,,,,infra_kpi_reporting,infra_kpi_reporting,"Operator Setup - Governance, Delivery & Diligence.infra_kpi_reporting <= infra_kpi_reporting",infra_kpi_reporting,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_kpi_revenue,number,infra_kpi_revenue,,,,infra_kpi_revenue,infra_kpi_revenue,"Operator Setup - Governance, Delivery & Diligence.infra_kpi_revenue <= infra_kpi_revenue",infra_kpi_revenue,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_kpi_tools,number,infra_kpi_tools,,,,infra_kpi_tools,infra_kpi_tools,"Operator Setup - Governance, Delivery & Diligence.infra_kpi_tools <= infra_kpi_tools",infra_kpi_tools,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_services_offered_json,multilineText,infra_services_offered_json,,Infrastructure & Data / Infrastructure Services Offered,infra_services_offered_json,infra_services_offered_json,infra_services_offered_json,"Operator Setup - Governance, Delivery & Diligence.infra_services_offered_json <= infra_services_offered_json",infra_services_offered_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,Yes,Legacy compatibility only,Do not expose
"Operator Setup - Governance, Delivery & Diligence",infra_signal_adoption,singleSelect,infra_signal_adoption,,Infrastructure & Data / Infrastructure & Data (KPI snapshot),infra_signal_adoption,infra_signal_adoption,infra_signal_adoption,"Operator Setup - Governance, Delivery & Diligence.infra_signal_adoption <= infra_signal_adoption",infra_signal_adoption,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_signal_incident,singleSelect,infra_signal_incident,,Infrastructure & Data / Infrastructure & Data (KPI snapshot),infra_signal_incident,infra_signal_incident,infra_signal_incident,"Operator Setup - Governance, Delivery & Diligence.infra_signal_incident <= infra_signal_incident",infra_signal_incident,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_signal_refresh,singleSelect,infra_signal_refresh,,Infrastructure & Data / Infrastructure & Data (KPI snapshot),infra_signal_refresh,infra_signal_refresh,infra_signal_refresh,"Operator Setup - Governance, Delivery & Diligence.infra_signal_refresh <= infra_signal_refresh",infra_signal_refresh,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_signal_uptime,singleSelect,infra_signal_uptime,,Infrastructure & Data / Infrastructure & Data (KPI snapshot),infra_signal_uptime,infra_signal_uptime,infra_signal_uptime,"Operator Setup - Governance, Delivery & Diligence.infra_signal_uptime <= infra_signal_uptime",infra_signal_uptime,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_systems_technology,multilineText,infra_systems_technology,,,,infra_systems_technology,infra_systems_technology,"Operator Setup - Governance, Delivery & Diligence.infra_systems_technology <= infra_systems_technology",infra_systems_technology,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_technology_maturity_level,singleSelect,infra_technology_maturity_level,,Infrastructure & Data / Technology Maturity View,infra_technology_maturity_level,infra_technology_maturity_level,infra_technology_maturity_level,"Operator Setup - Governance, Delivery & Diligence.infra_technology_maturity_level <= infra_technology_maturity_level",infra_technology_maturity_level,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Deferred/capture later,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",infra_technology_stack_json,multilineText,infra_technology_stack_json,,Infrastructure & Data / Technology Platform Stack,infra_technology_stack_json,infra_technology_stack_json,infra_technology_stack_json,"Operator Setup - Governance, Delivery & Diligence.infra_technology_stack_json <= infra_technology_stack_json",infra_technology_stack_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,Yes,Legacy compatibility only,Do not expose
"Operator Setup - Governance, Delivery & Diligence",lead_functions_selected,multipleSelects,lead_functions_selected,,,,lead_functions_selected,lead_functions_selected,"Operator Setup - Governance, Delivery & Diligence.lead_functions_selected <= lead_functions_selected",lead_functions_selected,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",lead_kpi_functions,singleLineText,lead_kpi_functions,,,,lead_kpi_functions,lead_kpi_functions,"Operator Setup - Governance, Delivery & Diligence.lead_kpi_functions <= lead_kpi_functions",lead_kpi_functions,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",lead_narrative_functional,multilineText,lead_narrative_functional,,,,lead_narrative_functional,lead_narrative_functional,"Operator Setup - Governance, Delivery & Diligence.lead_narrative_functional <= lead_narrative_functional",lead_narrative_functional,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
