Airtable Table,Airtable Field,Airtable Field Type,Live Options,Operator Setup UI Tab,Operator Setup Form Field Name,OAS Injected?,New-Base Writer Mapped?,Legacy Writer Mapped?,Child Table / JSON Payload?,Operator Explorer Section / Tab,Displayed in Operator Explorer?,Explorer Display Source,Used by OAS?,Used by Operator Strategy?,System / Derived / Admin-only?,Coverage Status,Risk Level,Recommended Action
Operator Setup - Platform & Markets,geo_mea_existing_rooms,singleLineText,,4. Markets & Footprint,geo_mea_existing_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_mea_pipeline_hotels,singleLineText,,4. Markets & Footprint,geo_mea_pipeline_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_mea_pipeline_rooms,singleLineText,,4. Markets & Footprint,geo_mea_pipeline_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_mea_total_hotels,singleLineText,,4. Markets & Footprint,geo_mea_total_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_mea_total_rooms,singleLineText,,4. Markets & Footprint,geo_mea_total_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_apac_existing_hotels,singleLineText,,4. Markets & Footprint,geo_apac_existing_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_apac_existing_rooms,singleLineText,,4. Markets & Footprint,geo_apac_existing_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_apac_pipeline_hotels,singleLineText,,4. Markets & Footprint,geo_apac_pipeline_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_apac_pipeline_rooms,singleLineText,,4. Markets & Footprint,geo_apac_pipeline_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_apac_total_hotels,singleLineText,,4. Markets & Footprint,geo_apac_total_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_apac_total_rooms,singleLineText,,4. Markets & Footprint,geo_apac_total_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_total_existing_hotels,singleLineText,,4. Markets & Footprint,geo_total_existing_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_total_existing_rooms,singleLineText,,4. Markets & Footprint,geo_total_existing_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_total_pipeline_hotels,singleLineText,,4. Markets & Footprint,geo_total_pipeline_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_total_pipeline_rooms,singleLineText,,4. Markets & Footprint,geo_total_pipeline_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_total_total_hotels,singleLineText,,4. Markets & Footprint,geo_total_total_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_total_total_rooms,singleLineText,,4. Markets & Footprint,geo_total_total_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,numberOfMarkets,number,,4. Markets & Footprint,numberOfMarkets,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,specificMarkets,multilineText,,4. Markets & Footprint,specificMarkets; regions,No,Yes,Yes,No,B. Market Presence | Tab: Markets & Footprint | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,luxuryExistingProperties,singleLineText,,4. Markets & Footprint,luxuryExistingProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,luxuryExistingRooms,singleLineText,,4. Markets & Footprint,luxuryExistingRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,luxuryPipelineProperties,singleLineText,,4. Markets & Footprint,luxuryPipelineProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,luxuryPipelineRooms,singleLineText,,4. Markets & Footprint,luxuryPipelineRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,luxuryProperties,singleLineText,,4. Markets & Footprint,luxuryProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,luxuryRooms,singleLineText,,4. Markets & Footprint,luxuryRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,luxuryAvgStaff,number,,4. Markets & Footprint,luxuryAvgStaff,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperUpscaleExistingProperties,singleLineText,,4. Markets & Footprint,upperUpscaleExistingProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperUpscaleExistingRooms,singleLineText,,4. Markets & Footprint,upperUpscaleExistingRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperUpscalePipelineProperties,singleLineText,,4. Markets & Footprint,upperUpscalePipelineProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperUpscalePipelineRooms,singleLineText,,4. Markets & Footprint,upperUpscalePipelineRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperUpscaleProperties,singleLineText,,4. Markets & Footprint,upperUpscaleProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperUpscaleRooms,singleLineText,,4. Markets & Footprint,upperUpscaleRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperUpscaleAvgStaff,number,,4. Markets & Footprint,upperUpscaleAvgStaff,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upscaleExistingProperties,singleLineText,,4. Markets & Footprint,upscaleExistingProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upscaleExistingRooms,singleLineText,,4. Markets & Footprint,upscaleExistingRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upscalePipelineProperties,singleLineText,,4. Markets & Footprint,upscalePipelineProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upscalePipelineRooms,singleLineText,,4. Markets & Footprint,upscalePipelineRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upscaleProperties,singleLineText,,4. Markets & Footprint,upscaleProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upscaleRooms,singleLineText,,4. Markets & Footprint,upscaleRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upscaleAvgStaff,number,,4. Markets & Footprint,upscaleAvgStaff,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperMidscaleExistingProperties,singleLineText,,4. Markets & Footprint,upperMidscaleExistingProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperMidscaleExistingRooms,singleLineText,,4. Markets & Footprint,upperMidscaleExistingRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperMidscalePipelineProperties,singleLineText,,4. Markets & Footprint,upperMidscalePipelineProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperMidscalePipelineRooms,singleLineText,,4. Markets & Footprint,upperMidscalePipelineRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperMidscaleProperties,singleLineText,,4. Markets & Footprint,upperMidscaleProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperMidscaleRooms,singleLineText,,4. Markets & Footprint,upperMidscaleRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,upperMidscaleAvgStaff,number,,4. Markets & Footprint,upperMidscaleAvgStaff,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,midscaleExistingProperties,singleLineText,,4. Markets & Footprint,midscaleExistingProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,midscaleExistingRooms,singleLineText,,4. Markets & Footprint,midscaleExistingRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,midscalePipelineProperties,singleLineText,,4. Markets & Footprint,midscalePipelineProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,midscalePipelineRooms,singleLineText,,4. Markets & Footprint,midscalePipelineRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,midscaleProperties,singleLineText,,4. Markets & Footprint,midscaleProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,midscaleRooms,singleLineText,,4. Markets & Footprint,midscaleRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,midscaleAvgStaff,number,,4. Markets & Footprint,midscaleAvgStaff,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,economyExistingProperties,singleLineText,,4. Markets & Footprint,economyExistingProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,economyExistingRooms,singleLineText,,4. Markets & Footprint,economyExistingRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,economyPipelineProperties,singleLineText,,4. Markets & Footprint,economyPipelineProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,economyPipelineRooms,singleLineText,,4. Markets & Footprint,economyPipelineRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,economyProperties,singleLineText,,4. Markets & Footprint,economyProperties,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,economyRooms,singleLineText,,4. Markets & Footprint,economyRooms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,economyAvgStaff,number,,4. Markets & Footprint,economyAvgStaff,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,totalProperties,singleLineText,,4. Markets & Footprint,totalProperties,No,Yes,No,No,—,No,Consumer expects field; not rendered,No,Yes,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,totalRooms,singleLineText,,4. Markets & Footprint,totalRooms,No,Yes,No,No,—,No,Consumer expects field; not rendered,No,Yes,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,chainScale,singleLineText,,4. Markets & Footprint,chainScale,No,Yes,Yes,No,H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,Yes,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,newBuildExperience,number,,4. Markets & Footprint,newBuildExperience,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,conversionExperience,number,,4. Markets & Footprint,conversionExperience,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,turnaroundExperience,number,,4. Markets & Footprint,turnaroundExperience,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,preOpeningExperience,number,,4. Markets & Footprint,preOpeningExperience,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,preOpeningRampLeadTimeMonths,number,,4. Markets & Footprint,preOpeningRampLeadTimeMonths,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,transitionExperience,number,,4. Markets & Footprint,transitionExperience,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,stabilizedExperience,number,,4. Markets & Footprint,stabilizedExperience,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,renovationExperience,number,,4. Markets & Footprint,renovationExperience,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,locationTypeUrban,number,,4. Markets & Footprint,locationTypeUrban,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,locationTypeSuburban,number,,4. Markets & Footprint,locationTypeSuburban,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,locationTypeSmallMetro,number,,4. Markets & Footprint,locationTypeSmallMetro,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,locationTypeInterstate,number,,4. Markets & Footprint,locationTypeInterstate,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,locationTypeTotal,number,,4. Markets & Footprint,locationTypeTotal,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,exitsDeflaggings,number,,4. Markets & Footprint,exitsDeflaggings,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,marketDepthOptIn,checkbox,,4. Markets & Footprint,marketDepthOptIn,No,Yes,No,No,—,No,Not an Explorer consumer field,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,mkt_narrative_depth,multilineText,,4. Markets & Footprint,mkt_narrative_depth,No,Yes,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,Partial,Legacy Explorer tab: Markets & Footprint,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,mkt_signal_years,singleLineText,,4. Markets & Footprint,mkt_signal_years,No,Yes,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,Partial,Legacy Explorer tab: Markets & Footprint,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,mkt_signal_gateway,singleLineText,,4. Markets & Footprint,mkt_signal_gateway,No,Yes,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,Partial,Legacy Explorer tab: Markets & Footprint,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,mkt_signal_mix,singleLineText,,4. Markets & Footprint,mkt_signal_mix,No,Yes,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,Partial,Legacy Explorer tab: Markets & Footprint,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,Brands Portfolio Detail,multilineText,,,brandsPortfolioDetail,No,Yes,Yes,Yes,G. Brand / Portfolio Experience | Tab: G. Brand / Portfolio Experience | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Commercial Fit & Terms,company_name,singleLineText,,0. Company Profile,companyName,No,No,Yes,No,A. Profile Snapshot | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,Yes,No,Legacy Only,High,Phase B2 — extend new-base writer
Operator Setup - Commercial Fit & Terms,ov_card_discipline,multilineText,,5. Owner Value & Engagement,ov_card_discipline,No,Yes,No,No,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial,Legacy Explorer tab: Owner Engagement & Reporting,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Commercial Fit & Terms,Operator,multipleRecordLinks,,,,No,No,No,No,—,No,Not an Explorer consumer field,No,No,Yes — System / link,System Field,Low,No operator UI — system/link/metadata
Operator Setup - Commercial Fit & Terms,ov_card_commercial,multilineText,,5. Owner Value & Engagement,ov_card_commercial,No,Yes,No,No,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial,Legacy Explorer tab: Owner Engagement & Reporting,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Commercial Fit & Terms,ov_card_communication,multilineText,,5. Owner Value & Engagement,ov_card_communication,No,Yes,No,No,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial,Legacy Explorer tab: Owner Engagement & Reporting,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Commercial Fit & Terms,ov_card_flexibility,multilineText,,5. Owner Value & Engagement,ov_card_flexibility,No,Yes,No,No,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial,Legacy Explorer tab: Owner Engagement & Reporting,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Commercial Fit & Terms,ov_card_risk,multilineText,,5. Owner Value & Engagement,ov_card_risk,No,Yes,No,No,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial,Legacy Explorer tab: Owner Engagement & Reporting,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Commercial Fit & Terms,ov_cluster_interaction,multilineText,,5. Owner Value & Engagement,ov_cluster_interaction,No,Yes,No,No,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial,Legacy Explorer tab: Owner Engagement & Reporting,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Commercial Fit & Terms,ov_cluster_deliverables,multilineText,,5. Owner Value & Engagement,ov_cluster_deliverables,No,Yes,No,No,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,Partial,Legacy Explorer tab: Owner Engagement & Reporting,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Commercial Fit & Terms,ownerEngagementNarrative,multilineText,,5. Owner Value & Engagement,ownerEngagementNarrative,No,Yes,No,No,—,No,Not an Explorer consumer field,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Commercial Fit & Terms,portfolioMetricsAsOf,singleLineText,,5. Owner Value & Engagement,portfolioMetricsAsOf,No,No,Yes,No,—,No,Not an Explorer consumer field,No,No,No,Legacy Only,Medium,Phase B2 — extend new-base writer
Operator Setup - Commercial Fit & Terms,portfolioValue,singleLineText,,5. Owner Value & Engagement,portfolioValue,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,annualRevenueManaged,singleLineText,,5. Owner Value & Engagement,annualRevenueManaged,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,avgContractTerm,singleSelect,,5. Owner Value & Engagement,avgContractTerm,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,feeStructure,singleSelect,,5. Owner Value & Engagement,feeStructure,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,reportingFrequency,singleSelect,,5. Owner Value & Engagement,reportingFrequency,No,No,No,No,Legacy tab: Owner Engagement & Reporting | Tab: Owner Engagement & Reporting,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,reportTypes,multipleSelects,,5. Owner Value & Engagement,reportTypes,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,budgetProcess,singleSelect,,5. Owner Value & Engagement,budgetProcess,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,capexPlanning,singleSelect,,5. Owner Value & Engagement,capexPlanning,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,capexTolerance,singleSelect,,5. Owner Value & Engagement,capexTolerance,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,performanceReviews,singleSelect,,5. Owner Value & Engagement,performanceReviews,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,communicationStyle,singleSelect,,5. Owner Value & Engagement,communicationStyle,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,ownerInvolvement,singleSelect,,5. Owner Value & Engagement,ownerInvolvement,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,operatingCollaborationMode,singleSelect,,5. Owner Value & Engagement,operatingCollaborationMode,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,ownerResponseTime,singleSelect,,5. Owner Value & Engagement,ownerResponseTime,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,decisionMaking,multilineText,,5. Owner Value & Engagement,decisionMaking,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,disputeResolution,multilineText,,5. Owner Value & Engagement,disputeResolution,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,concernResolutionTime,singleSelect,,5. Owner Value & Engagement,concernResolutionTime,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Commercial Fit & Terms,ownerAdvisoryBoard,singleSelect,,5. Owner Value & Engagement,ownerAdvisoryBoard,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
