Parent Company,Normalized Parent Company,Brand Name,Normalized Brand Name,Brand Family / Collection,Chain Scale / Positioning Tier,Service Model,Region / CALA Flag,Include in Brand Explorer,Brand Status,Brand Directory URL,Official Website,Alias Mapping Present?,Alias Count,Missing Key Fields,Recommended Parent Priority,Notes
AccorHotels,accorhotels,Adagio Aparthotel Extra,adagio aparthotel extra,Masterbrand,Upper Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,6. Accor,
AccorHotels,accorhotels,Novotel,novotel,Masterbrand,Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Hilton Worldwide,hilton worldwide,Graduate Hotels,graduate hotels,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https:/hilton.com,https:/hilton.com,yes,1,,4. Hilton,
Banyan Tree Hotels & Resorts,banyan tree hotels & resorts,Angsana,angsana,Masterbrand,Luxury,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
Wyndham Hotels & Resorts,wyndham hotels & resorts,La Quinta by Wyndham,la quinta by wyndham,Endorsed Brand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://laquinta.com,https://laquinta.com,yes,1,,7. Wyndham,
,(missing),Zoku,zoku,Masterbrand,Upper Upscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://livezoku.com,https://livezoku.com,yes,1,parent_company,15. Other regional / independent operators,
Shangri-La Hotels and Resorts,shangri-la hotels and resorts,Shangri-La Hotels and Resorts,shangri-la hotels and resorts,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://shangri-la.com,https://shangri-la.com,yes,1,,15. Other regional / independent operators,
Choice Hotels International,choice hotels,Radisson Individual (Choice),radisson individual (choice),Endorsed Brand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/radisson-individuals,https://choicehotels.com/radisson-individuals,yes,5,,1. Choice Hotels,
Minor Hotel Group Limited,minor hotel group limited,Oaks,oaks,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://minorhotels.com,https://minorhotels.com,yes,1,,15. Other regional / independent operators,
AccorHotels,accorhotels,Aparthotel Adagio Access,aparthotel adagio access,Masterbrand,Midscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Sonesta International Hotels Corporation,sonesta international hotels corporation,The Royal Sonesta,the royal sonesta,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://sonesta.com/royal-sonesta,https://sonesta.com/royal-sonesta,yes,1,,15. Other regional / independent operators,
Hyatt Hotels Corporation,hyatt hotels corporation,Caption by Hyatt,caption by hyatt,Endorsed Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,5. Hyatt,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Wyndham Garden,wyndham garden,Masterbrand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
InterContinental Hotels Group,intercontinental hotels group,Candlewood Suites,candlewood suites,Masterbrand,Midscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
AccorHotels,accorhotels,So,so,Masterbrand,Upper Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Iberostar Hotels & Resorts,iberostar hotels & resorts,Iberostar Selection,iberostar selection,Masterbrand,Upper Upscale,All-Inclusive,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://berostar.com,https://berostar.com,yes,1,,15. Other regional / independent operators,
BWH Hotels,bwh hotels,SureStay Studio,surestay studio,Masterbrand,Economy,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
AmeriVu Inn and Suites,amerivu inn and suites,Budgetel,budgetel,Masterbrand,Economy,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://budgetel.com,https://budgetel.com,yes,1,,15. Other regional / independent operators,
"Marriott International, Inc.",marriott international,TownePlace Suites by Marriott,towneplace suites by marriott,Endorsed Brand,Upper Midscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
Hyatt Hotels Corporation,hyatt hotels corporation,Destination by Hyatt,destination by hyatt,Endorsed Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
Radisson Hotel Group,radisson hotel group,Radisson Blu,radisson blu,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://radissonhotels.com,https://radissonhotels.com,yes,2,,8. Radisson / legacy Radisson,
Hilton Worldwide,hilton worldwide,LXR Hotels & Resorts,lxr hotels & resorts,Soft/Collection Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Knights Inn,knights inn,Masterbrand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
Hilton Worldwide,hilton worldwide,LivSmart Studios by Hilton,livsmart studios by hilton,Endorsed Brand,Upper Upscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,4. Hilton,
AccorHotels,accorhotels,JO&JOE,jo&joe,Masterbrand,Economy,Lifestyle / Boutique,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Choice Hotels International,choice hotels,Radisson Blu (Choice),radisson blu (choice),Endorsed Brand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/radisson-blu,https://choicehotels.com/radisson-blu,yes,4,,1. Choice Hotels,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Wyndham Grand,wyndham grand,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
Hilton Worldwide,hilton worldwide,Hilton Hotels & Resorts,hilton hotels & resorts,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
"Marriott International, Inc.",marriott international,Ritz-Carlton,ritz-carlton,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
AccorHotels,accorhotels,Mama Shelter,mama shelter,Masterbrand,Upper Midscale,Lifestyle / Boutique,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://mamashelter.com,https://mamashelter.com,yes,1,,6. Accor,
Wyndham Hotels & Resorts,wyndham hotels & resorts,TRYP by Wyndham,tryp by wyndham,Endorsed Brand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
Minor Hotel Group Limited,minor hotel group limited,Tivoli Hotels & Resorts,tivoli hotels & resorts,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://minorhotels.com,https://minorhotels.com,yes,1,,15. Other regional / independent operators,
Choice Hotels International,choice hotels,Sleep Inn,sleep inn,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/sleep-inn,https://choicehotels.com/sleep-inn,yes,4,,1. Choice Hotels,
Radisson Hotel Group,radisson hotel group,Radisson,radisson,Masterbrand,Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://radissonhotels.com,https://radissonhotels.com,yes,2,,8. Radisson / legacy Radisson,
AccorHotels,accorhotels,The Hoxton,the hoxton,Masterbrand,Upper Upscale,Lifestyle / Boutique,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Hilton Worldwide,hilton worldwide,Waldorf Astoria,waldorf astoria,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
Hyatt Hotels Corporation,hyatt hotels corporation,Mr & Mrs Smith,mr & mrs smith,Soft/Collection Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,5. Hyatt,
Hyatt Hotels Corporation,hyatt hotels corporation,Breathless Resorts & Spas,breathless resorts & spas,Soft/Collection Brand,Luxury,All-Inclusive,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com/breathless,https://hyatt.com/breathless,yes,1,,5. Hyatt,
"Marriott International, Inc.",marriott international,St. Regis,st. regis,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
"Red Roof Franchise, UK","red roof franchise, uk",Red Roof Inn,red roof inn,Masterbrand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://redroof.com,https://redroof.com,yes,1,,15. Other regional / independent operators,
Minor Hotel Group Limited,minor hotel group limited,NH Hotels,nh hotels,Masterbrand,Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://minorhotels.com,https://minorhotels.com,yes,1,,15. Other regional / independent operators,
Mandarin Oriental Hotel Group,mandarin oriental hotel group,Mandarin Oriental Hotel Group,mandarin oriental hotel group,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://mandarinoriental.com,https://mandarinoriental.com,yes,1,,15. Other regional / independent operators,
Hilton Worldwide,hilton worldwide,Homewood Suites by Hilton,homewood suites by hilton,Endorsed Brand,Upscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Baymont by Wyndham,baymont by wyndham,Endorsed Brand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
InterContinental Hotels Group,intercontinental hotels group,Crowne Plaza,crowne plaza,Masterbrand,Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Wyndham,wyndham,Masterbrand,Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
Choice Hotels International,choice hotels,Country Inn & Suites by Radisson (Choice),country inn & suites by radisson (choice),Endorsed Brand,Upper Midscale,Select-Service,CALA-relevant (Caribbean & Latin America; North America),yes (derived from Brand Status),Active,https://choicehotels.com/country-inn-suites,https://choicehotels.com/country-inn-suites,yes,2,,1. Choice Hotels,
Choice Hotels International,choice hotels,Econo Lodge,econo lodge,Masterbrand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/econo-lodge,https://choicehotels.com/econo-lodge,yes,1,,1. Choice Hotels,
"Marriott International, Inc.",marriott international,Moxy Hotels,moxy hotels,Masterbrand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
AccorHotels,accorhotels,Mantis Collection,mantis collection,Soft/Collection Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
AccorHotels,accorhotels,Orient Express,orient express,Masterbrand,Luxury,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,6. Accor,
Hyatt Hotels Corporation,hyatt hotels corporation,Andaz,andaz,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
InterContinental Hotels Group,intercontinental hotels group,HUALUXE Hotels and Resorts,hualuxe hotels and resorts,Masterbrand,Upper Midscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
Hilton Worldwide,hilton worldwide,Tapestry Collection by Hilton,tapestry collection by hilton,Endorsed Brand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
Hilton Worldwide,hilton worldwide,Home2 Suites by Hilton,home2 suites by hilton,Endorsed Brand,Upper Midscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
Choice Hotels International,choice hotels,Quality Inn,quality inn,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/quality-inn,https://choicehotels.com/quality-inn,yes,4,,1. Choice Hotels,
BWH Hotels,bwh hotels,BW Signature Collection,bw signature collection,Soft/Collection Brand,Upper Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
Hyatt Hotels Corporation,hyatt hotels corporation,Miraval,miraval,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
Hilton Worldwide,hilton worldwide,Curio Collection by Hilton,curio collection by hilton,Endorsed Brand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
AccorHotels,accorhotels,Mantra,mantra,Masterbrand,Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
AccorHotels,accorhotels,Faena,faena,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
InterContinental Hotels Group,intercontinental hotels group,Hotel Indigo,hotel indigo,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
Iberostar Hotels & Resorts,iberostar hotels & resorts,Iberostar Waves,iberostar waves,Masterbrand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
AccorHotels,accorhotels,Mercure,mercure,Masterbrand,Upper Midscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
AccorHotels,accorhotels,Mövenpick,movenpick,Masterbrand,Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Northland Properties,northland properties,Sandman Hotels,sandman hotels,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://sandmanhotels.com,https://sandmanhotels.com,yes,1,,15. Other regional / independent operators,
Hilton Worldwide,hilton worldwide,Spark by Hilton,spark by hilton,Endorsed Brand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,4. Hilton,
"Marriott International, Inc.",marriott international,Sheraton,sheraton,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
Sonesta International Hotels Corporation,sonesta international hotels corporation,Americas Best Value Inn,americas best value inn,Soft/Collection Brand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://americasbestvalueinn.com,https://americasbestvalueinn.com,yes,1,,15. Other regional / independent operators,
Sonesta International Hotels Corporation,sonesta international hotels corporation,Signature Inn,signature inn,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
"Marriott International, Inc.",marriott international,Four Points Flex by Sheraton,four points flex by sheraton,Endorsed Brand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Travelodge by Wyndham,travelodge by wyndham,Endorsed Brand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
Hyatt Hotels Corporation,hyatt hotels corporation,Hyatt Place,hyatt place,Masterbrand,Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
AccorHotels,accorhotels,Rixos,rixos,Masterbrand,Luxury,All-Inclusive,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Hyatt Hotels Corporation,hyatt hotels corporation,Hyatt Zilara,hyatt zilara,Masterbrand,Luxury,All-Inclusive,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
Sonesta International Hotels Corporation,sonesta international hotels corporation,Red Lion Hotels,red lion hotels,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://redlion.com,https://redlion.com,yes,1,,15. Other regional / independent operators,
InterContinental Hotels Group,intercontinental hotels group,Staybridge Suites,staybridge suites,Masterbrand,Upscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
Hilton Worldwide,hilton worldwide,DoubleTree by Hilton,doubletree by hilton,Endorsed Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,4. Hilton,
AccorHotels,accorhotels,Hyde,hyde,Masterbrand,Upper Upscale,Lifestyle / Boutique,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hydehotels.com.au,https://hydehotels.com.au,yes,1,,6. Accor,
AccorHotels,accorhotels,TRIBE,tribe,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
AccorHotels,accorhotels,Novotel Suites,novotel suites,Masterbrand,Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
AccorHotels,accorhotels,The Sebel,the sebel,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
"Marriott International, Inc.",marriott international,JW Marriott,jw marriott,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
AccorHotels,accorhotels,BreakFree Resort,breakfree resort,Masterbrand,Midscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
AccorHotels,accorhotels,Raffles,raffles,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Small Luxury Hotels of the World,small luxury hotels of the world,Small Luxury Hotels of the World,small luxury hotels of the world,Soft/Collection Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://slh.com,https://slh.com,yes,1,,15. Other regional / independent operators,
Choice Hotels International,choice hotels,Rodeway Inn,rodeway inn,Masterbrand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/rodeway-inn,https://choicehotels.com/rodeway-inn,yes,1,,1. Choice Hotels,
Hilton Worldwide,hilton worldwide,Embassy Suites by Hilton,embassy suites by hilton,Endorsed Brand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
AccorHotels,accorhotels,Adagio Aparthotel,adagio aparthotel,Masterbrand,Upper Midscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
InterContinental Hotels Group,intercontinental hotels group,Regent Hotels & Resorts,regent hotels & resorts,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
AccorHotels,accorhotels,ibis,ibis,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Sonesta International Hotels Corporation,sonesta international hotels corporation,Settle Inn & Suites,settle inn & suites,Masterbrand,Upper Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
The Peninsula Hotels,the peninsula hotels,The Peninsula Hotels,the peninsula hotels,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://peninsula.com,https://peninsula.com,yes,1,,15. Other regional / independent operators,
Choice Hotels International,choice hotels,Suburban Studios,suburban studios,Masterbrand,Economy,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/suburban,https://choicehotels.com/suburban,yes,1,,1. Choice Hotels,
